id,host_id,host_perfil,neighbourhood_group,neighbourhood,room_type,property_type,accommodates,bedrooms,minimum_nights,uso_turistico,borde_31_noches,licencia_regional,vivienda_id,anuncios_de_la_vivienda,es_repeticion,precio_anuncio,precio_por_plaza,precio_plaza_anual,banda_plaza,factor_temporada,number_of_reviews_ltm,availability_365,license,situacion,sujeto_a_vut,sin_licencia,actividad_reciente
18674,71615.0,solo_con_licencia,Eixample,la Sagrada Família,Entire home/apt,Entire rental unit,8.0,3.0,1.0,True,False,HUTB-002062,HUTB-002062,1,False,409.0,51.12,43.03,€€,1.188,9,123,Spain - National registration number<br />ESFCTU000008058000039706000000000000000HUTB-002062349<br /><br />Barcelona - Regional registration number<br />HUTB-002062,licencia_verificada,True,False,True
23197,90417.0,solo_con_licencia,Sant Martí,el Besòs i el Maresme,Entire home/apt,Entire rental unit,5.0,3.0,2.0,True,False,HUTB-005057,HUTB-005057,1,False,388.0,77.6,65.31,€€,1.188,11,239,Spain - National registration number<br />ESFCTU000008106000547360000000000000000000HUTB0050572<br /><br />Barcelona - Regional registration number<br />HUTB-005057,licencia_verificada,True,False,True
34981,73163.0,solo_sin_licencia,Ciutat Vella,el Barri Gòtic,Entire home/apt,Entire rental unit,9.0,4.0,1.0,True,False,HUTB-150671,HUTB-150671,1,False,397.13,44.13,37.14,€,1.188,37,329,Spain - National registration number<br />ESFCTU000008119000093652000000000000000HUTB-001506712<br /><br />Barcelona - Regional registration number<br />HUTB-150671,licencia_no_encontrada,True,True,True
36763,158596.0,solo_sin_licencia,Ciutat Vella,la Barceloneta,Private room,Private room in rental unit,1.0,,31.0,True,True,,anuncio:36763,1,False,43.24,43.24,36.39,€,1.188,0,38,,sin_declarar,False,False,False
40983,177617.0,solo_con_licencia,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire condo,4.0,1.0,1.0,True,False,HUTB-001282,HUTB-001282,1,False,226.13,56.53,47.58,€€,1.188,56,289,Barcelona - Regional registration number<br />HUTB-001282<br /><br />Spain - National registration number<br />ESFCTU00000805400028019300000000000000000HUTB-0012821,licencia_verificada,True,False,True
49968,135703.0,solo_con_licencia,Gràcia,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,Entire rental unit,5.0,2.0,1.0,True,False,HUTB-001723,HUTB-001723,2,False,,,,,1.188,11,0,Barcelona - Regional registration number<br />HUTB-001723<br /><br />Spain - National registration number<br />ESFCTU00000805800030001100000000000000000HUTB-0017235,licencia_verificada,True,False,True
71520,366428.0,solo_con_licencia,Gràcia,Vallcarca i els Penitents,Entire home/apt,Entire rental unit,9.0,3.0,5.0,True,False,HUTB-007966,HUTB-007966,1,False,417.8,46.42,39.07,€,1.188,0,363,Barcelona - Regional registration number<br />HUTB-007966,licencia_verificada,True,False,False
71553,366654.0,solo_con_licencia,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire rental unit,2.0,1.0,2.0,True,False,HUTB-002424,HUTB-002424,1,False,275.5,137.75,115.94,€€€,1.188,2,167,Barcelona - Regional registration number<br />HUTB-002424<br /><br />Spain - National registration number<br />ESFCTU00000807300018946600000000000000HUTB-002424-083,licencia_verificada,True,False,True
71736,368317.0,solo_sin_licencia,Ciutat Vella,el Raval,Entire home/apt,Entire rental unit,5.0,4.0,31.0,True,True,Exempt - seasonal rental,anuncio:71736,1,False,107.61,21.52,18.11,€,1.188,0,361,Spain - National registration number<br />ESFCNT00000805600004336500000000000000000000000000009<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,True,False,False
72436,375625.0,solo_con_licencia,Sant Martí,el Poblenou,Entire home/apt,Entire serviced apartment,3.0,1.0,1.0,True,False,HUTB-000173,HUTB-000173,1,False,209.0,69.67,58.64,€€,1.188,210,245,Barcelona - Regional registration number<br />HUTB-000173<br /><br />Spain - National registration number<br />ESFCTU00000807200078128100000000000000000HUTB-0001713,licencia_verificada,True,False,True
75411,400154.0,solo_con_licencia,Sant Martí,el Clot,Entire home/apt,Entire rental unit,3.0,3.0,3.0,True,False,HUTB-000083,HUTB-000083,1,False,179.67,59.89,50.41,€€,1.188,28,105,Spain - National registration number<br />ESFCTU00000807300091781600000000000000000HUTB-0000835<br /><br />Barcelona - Regional registration number<br />HUTB-000083,licencia_verificada,True,False,True
80004,431839.0,solo_con_licencia,Sants-Montjuïc,el Poble Sec,Entire home/apt,Entire rental unit,5.0,3.0,7.0,True,False,HUTB-004026,HUTB-004026,1,False,156.11,31.22,26.28,€,1.188,18,33,Barcelona - Regional registration number<br />HUTB-004026<br /><br />Spain - National registration number<br />ESFCTU00000806900038622600000000000000HUTB-004026 582,licencia_verificada,True,False,True
89776,3556337.0,mixto,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire rental unit,3.0,1.0,2.0,True,False,HUTB-002215,HUTB-002215,1,False,217.0,72.33,60.88,€€,1.188,52,279,Barcelona - Regional registration number<br />HUTB-002215<br /><br />Spain - National registration number<br />ESFCTU00000805400030100300000000000000HUTB-002215-959,licencia_verificada,True,False,True
110041,396363.0,mixto,Gràcia,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,Entire rental unit,4.0,1.0,1.0,True,False,HUTB-003671,HUTB-003671,1,False,207.0,51.75,43.56,€€,1.188,14,351,Spain - National registration number<br />ESFCTU000008057000631118000000000000000HUTB-003671797<br /><br />Barcelona - Regional registration number<br />HUTB-003671,licencia_verificada,True,False,True
112538,567180.0,solo_con_licencia,Eixample,la Sagrada Família,Entire home/apt,Entire rental unit,8.0,3.0,1.0,True,False,HUTB-000329,HUTB-000329,1,False,414.0,51.75,43.56,€€,1.188,22,174,Spain - National registration number<br />ESHFTU00000805800052263501800000000000000HUTB-0003296<br /><br />Barcelona - Regional registration number<br />HUTB-000329,licencia_verificada,True,False,True
135513,664196.0,solo_con_licencia,Sant Martí,el Poblenou,Entire home/apt,Entire rental unit,6.0,3.0,1.0,True,False,HUTb-005204,anuncio:135513,1,False,310.51,51.75,43.56,€€,1.188,37,234,Barcelona - Regional registration number<br />HUTb-005204<br /><br />Spain - National registration number<br />ESFCTU00000807200028027200000000000000000HUTB-0052047,licencia_verificada,True,False,True
136670,610674.0,,Les Corts,Pedralbes,Private room,Private room in rental unit,1.0,,32.0,False,False,Exempt - seasonal rental,anuncio:136670,1,False,51.12,51.12,43.03,€€,1.188,7,363,Barcelona - Regional registration number<br />Exempt - seasonal rental<br /><br />Spain - National registration number<br />ESHFNT00000806000011522900400000000000000000000000008,exencion_declarada,False,False,True
144471,700165.0,solo_sin_licencia,Eixample,Sant Antoni,Private room,Private room in rental unit,2.0,,3.0,True,False,,anuncio:144471,1,False,131.0,65.5,55.13,€€,1.188,14,61,,sin_declarar,False,False,True
144801,701493.0,,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,Entire rental unit,2.0,1.0,32.0,False,False,Exempt - seasonal rental,anuncio:144801,1,False,59.59,29.8,25.08,€,1.188,0,83,Spain - National registration number<br />ESFCNT00000805400000857500000000000000000000000000001<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,False,False,False
147275,711907.0,sin_anuncios_turisticos,Horta-Guinardó,el Guinardó,Private room,Private room in rental unit,1.0,,31.0,True,True,Exempt - seasonal rental,anuncio:147275,1,False,16.92,16.92,14.24,€,1.188,3,226,Spain - National registration number<br />Exempt - tourist apartment<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,False,False,False
171646,400154.0,solo_con_licencia,Sant Martí,el Clot,Entire home/apt,Entire rental unit,3.0,2.0,2.0,True,False,HUTB-004663,HUTB-004663,1,False,228.24,76.08,64.03,€€,1.188,34,94,Spain - National registration number<br />ESFCTU00000807300091789200000000000000000HUTB-0046639<br /><br />Barcelona - Regional registration number<br />HUTB-004663,licencia_verificada,True,False,True
171816,400154.0,solo_con_licencia,Sant Martí,el Clot,Entire home/apt,Entire rental unit,3.0,2.0,3.0,True,False,HUTB-004664,HUTB-004664,1,False,177.6,59.2,49.83,€€,1.188,23,86,Spain - National registration number<br />ESFCTU00000807300091788500000000000000000HUTB-0046648<br /><br />Barcelona - Regional registration number<br />HUTB-004664,licencia_verificada,True,False,True
174382,567180.0,solo_con_licencia,Eixample,la Sagrada Família,Entire home/apt,Entire rental unit,8.0,3.0,1.0,True,False,HUTB-000327,HUTB-000327,1,False,354.0,44.25,37.24,€,1.188,19,84,Spain - National registration number<br />ESHFTU00000805800052263500200000000000000HUTB-0003271<br /><br />Barcelona - Regional registration number<br />HUTB-000327,licencia_verificada,True,False,True
183650,880805.0,solo_sin_licencia,Eixample,Sant Antoni,Private room,Private room in rental unit,1.0,1.0,1.0,True,False,,anuncio:183650,1,False,142.0,142.0,119.52,€€€,1.188,0,343,,sin_declarar,False,False,False
188267,366654.0,solo_con_licencia,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire rental unit,6.0,3.0,2.0,True,False,hutb-005119,anuncio:188267,1,False,612.99,102.16,85.98,€€€,1.188,6,289,Barcelona - Regional registration number<br />hutb-005119<br /><br />Spain - National registration number<br />ESFCTU00000805400013570700000000000000HUTB-005119-946,licencia_verificada,True,False,True
190348,919480.0,solo_sin_licencia,Les Corts,Pedralbes,Private room,Private room in rental unit,2.0,,7.0,True,False,,anuncio:190348,1,False,,,,,1.188,0,0,,sin_declarar,False,False,False
196021,953719.0,solo_con_licencia,Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,Entire rental unit,8.0,4.0,1.0,True,False,HUTB-005067,HUTB-005067,1,False,648.0,81.0,68.18,€€,1.188,52,286,Barcelona - Regional registration number<br />HUTB-005067<br /><br />Spain - National registration number<br />ESFCTU00000805600003287100000000000000000HUTB-0050670,licencia_verificada,True,False,True
198958,971768.0,mixto,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Entire home/apt,Entire rental unit,8.0,4.0,2.0,True,False,HUTB-009269,HUTB-009269,2,False,425.0,53.12,44.71,€€,1.188,17,271,Spain - National registration number<br />ESFCTU00000807200054412100000000000000000HUTB-0009269<br /><br />Barcelona - Regional registration number<br />HUTB-009269,licencia_verificada,True,False,True
206122,1013855.0,solo_con_licencia,Gràcia,la Vila de Gràcia,Entire home/apt,Entire rental unit,4.0,2.0,2.0,True,False,HUTB-004315,HUTB-004315,1,False,183.5,45.88,38.62,€,1.188,44,69,Spain - National registration number<br />ESFCTU00000806600003878000000000000000000HUTB-0043159<br /><br />Barcelona - Regional registration number<br />HUTB-004315,licencia_verificada,True,False,True
